,success,timestamp,historical,base,date,rates
53,True,1709855999,True,EUR,2024-03-07,"{'USD': 1.094984, 'GBP': 0.854527, 'CHF': 0.96063}"
54,True,1709942399,True,EUR,2024-03-08,"{'USD': 1.094446, 'GBP': 0.851378, 'CHF': 0.960709}"
55,True,1710028799,True,EUR,2024-03-09,"{'USD': 1.094446, 'GBP': 0.851179, 'CHF': 0.960641}"
56,True,1710115199,True,EUR,2024-03-10,"{'USD': 1.094266, 'GBP': 0.851256, 'CHF': 0.960295}"
57,True,1710201599,True,EUR,2024-03-11,"{'USD': 1.093093, 'GBP': 0.852687, 'CHF': 0.958981}"
58,True,1710287999,True,EUR,2024-03-12,"{'USD': 1.092747, 'GBP': 0.85402, 'CHF': 0.958798}"
59,True,1710374399,True,EUR,2024-03-13,"{'USD': 1.095351, 'GBP': 0.855639, 'CHF': 0.962205}"
60,True,1710460799,True,EUR,2024-03-14,"{'USD': 1.088311, 'GBP': 0.853894, 'CHF': 0.962426}"
61,True,1710547199,True,EUR,2024-03-15,"{'USD': 1.089858, 'GBP': 0.855932, 'CHF': 0.964093}"
62,True,1710633599,True,EUR,2024-03-16,"{'USD': 1.089858, 'GBP': 0.856067, 'CHF': 0.964017}"
63,True,1710719999,True,EUR,2024-03-17,"{'USD': 1.088234, 'GBP': 0.854798, 'CHF': 0.961618}"
64,True,1710806399,True,EUR,2024-03-18,"{'USD': 1.087346, 'GBP': 0.854388, 'CHF': 0.965085}"
65,True,1710892799,True,EUR,2024-03-19,"{'USD': 1.086301, 'GBP': 0.854105, 'CHF': 0.965293}"
66,True,1710979199,True,EUR,2024-03-20,"{'USD': 1.093691, 'GBP': 0.854588, 'CHF': 0.968644}"
67,True,1711065599,True,EUR,2024-03-21,"{'USD': 1.086195, 'GBP': 0.857937, 'CHF': 0.97518}"
68,True,1711151999,True,EUR,2024-03-22,"{'USD': 1.086361, 'GBP': 0.862123, 'CHF': 0.97532}"
69,True,1711238399,True,EUR,2024-03-23,"{'USD': 1.086361, 'GBP': 0.862123, 'CHF': 0.975492}"
70,True,1711324799,True,EUR,2024-03-24,"{'USD': 1.080743, 'GBP': 0.857861, 'CHF': 0.970134}"
71,True,1711411199,True,EUR,2024-03-25,"{'USD': 1.083799, 'GBP': 0.857621, 'CHF': 0.974921}"
72,True,1711497599,True,EUR,2024-03-26,"{'USD': 1.083207, 'GBP': 0.85778, 'CHF': 0.978899}"
73,True,1711583999,True,EUR,2024-03-27,"{'USD': 1.081309, 'GBP': 0.857099, 'CHF': 0.979346}"
74,True,1711670399,True,EUR,2024-03-28,"{'USD': 1.079273, 'GBP': 0.854838, 'CHF': 0.972765}"
75,True,1711756799,True,EUR,2024-03-29,"{'USD': 1.079971, 'GBP': 0.855355, 'CHF': 0.97425}"
76,True,1711843199,True,EUR,2024-03-30,"{'USD': 1.079971, 'GBP': 0.855355, 'CHF': 0.97425}"
77,True,1711929599,True,EUR,2024-03-31,"{'USD': 1.079249, 'GBP': 0.854053, 'CHF': 0.973526}"
78,True,1712015999,True,EUR,2024-04-01,"{'USD': 1.073698, 'GBP': 0.855899, 'CHF': 0.971837}"
79,True,1712102399,True,EUR,2024-04-02,"{'USD': 1.076815, 'GBP': 0.856218, 'CHF': 0.977619}"
80,True,1712188799,True,EUR,2024-04-03,"{'USD': 1.083829, 'GBP': 0.856604, 'CHF': 0.978676}"
81,True,1712275199,True,EUR,2024-04-04,"{'USD': 1.083656, 'GBP': 0.857333, 'CHF': 0.977003}"
82,True,1712361599,True,EUR,2024-04-05,"{'USD': 1.084775, 'GBP': 0.858276, 'CHF': 0.978146}"
83,True,1712447999,True,EUR,2024-04-06,"{'USD': 1.084775, 'GBP': 0.858344, 'CHF': 0.97834}"
84,True,1712534399,True,EUR,2024-04-07,"{'USD': 1.083025, 'GBP': 0.857865, 'CHF': 0.97822}"
85,True,1712620799,True,EUR,2024-04-08,"{'USD': 1.086246, 'GBP': 0.858199, 'CHF': 0.983128}"
86,True,1712707199,True,EUR,2024-04-09,"{'USD': 1.085859, 'GBP': 0.856558, 'CHF': 0.980641}"
87,True,1712793599,True,EUR,2024-04-10,"{'USD': 1.074131, 'GBP': 0.856781, 'CHF': 0.980794}"
88,True,1712879999,True,EUR,2024-04-11,"{'USD': 1.072645, 'GBP': 0.854404, 'CHF': 0.975989}"
89,True,1712966399,True,EUR,2024-04-12,"{'USD': 1.067065, 'GBP': 0.856693, 'CHF': 0.97558}"
90,True,1713016324,True,EUR,2024-04-13,"{'USD': 1.067065, 'GBP': 0.856598, 'CHF': 0.975494}"
